Job: acopf_run
Executing: ACOPF_pinn_baseline.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch  950 | Cost: 1492.16 | Max P-Miss: 0.1392 | Max Q-Miss: 0.0380 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  960 | Cost: 1494.99 | Max P-Miss: 0.1316 | Max Q-Miss: 0.0383 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  970 | Cost: 1494.79 | Max P-Miss: 0.1371 | Max Q-Miss: 0.0413 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  980 | Cost: 1493.27 | Max P-Miss: 0.1336 | Max Q-Miss: 0.0439 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  990 | Cost: 1494.95 | Max P-Miss: 0.1395 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1000 | Cost: 1496.36 | Max P-Miss: 0.1369 | Max Q-Miss: 0.0379 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1010 | Cost: 1494.53 | Max P-Miss: 0.1347 | Max Q-Miss: 0.0395 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1020 | Cost: 1491.85 | Max P-Miss: 0.1313 | Max Q-Miss: 0.0357 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1030 | Cost: 1486.88 | Max P-Miss: 0.1213 | Max Q-Miss: 0.0304 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1040 | Cost: 1484.71 | Max P-Miss: 0.1279 | Max Q-Miss: 0.0342 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1050 | Cost: 1489.70 | Max P-Miss: 0.1159 | Max Q-Miss: 0.0286 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1060 | Cost: 1490.40 | Max P-Miss: 0.1132 | Max Q-Miss: 0.0313 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1070 | Cost: 1491.03 | Max P-Miss: 0.1300 | Max Q-Miss: 0.0322 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1080 | Cost: 1488.69 | Max P-Miss: 0.1212 | Max Q-Miss: 0.0372 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1090 | Cost: 1429.62 | Max P-Miss: 0.1394 | Max Q-Miss: 0.0633 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
