Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch 1170 | Cost: 1517.83 | Max P-Miss: 0.1516 | Max Q-Miss: 0.0556 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0013
Epoch 1180 | Cost: 1519.06 | Max P-Miss: 0.1147 | Max Q-Miss: 0.0464 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch 1190 | Cost: 1542.12 | Max P-Miss: 0.1156 | Max Q-Miss: 0.0353 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0013
Epoch 1200 | Cost: 1546.07 | Max P-Miss: 0.1167 | Max Q-Miss: 0.0343 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch 1210 | Cost: 1535.79 | Max P-Miss: 0.1148 | Max Q-Miss: 0.0386 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1220 | Cost: 1532.95 | Max P-Miss: 0.1150 | Max Q-Miss: 0.0437 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1230 | Cost: 1530.01 | Max P-Miss: 0.1131 | Max Q-Miss: 0.0414 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1240 | Cost: 1527.28 | Max P-Miss: 0.1181 | Max Q-Miss: 0.0384 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1250 | Cost: 1524.83 | Max P-Miss: 0.1188 | Max Q-Miss: 0.0421 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1260 | Cost: 1521.47 | Max P-Miss: 0.1140 | Max Q-Miss: 0.0355 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1270 | Cost: 1520.03 | Max P-Miss: 0.1146 | Max Q-Miss: 0.0354 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1280 | Cost: 1516.86 | Max P-Miss: 0.1130 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1290 | Cost: 1516.04 | Max P-Miss: 0.1141 | Max Q-Miss: 0.0397 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1300 | Cost: 1514.40 | Max P-Miss: 0.1134 | Max Q-Miss: 0.0381 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1310 | Cost: 1512.61 | Max P-Miss: 0.1119 | Max Q-Miss: 0.0388 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1320 | Cost: 1512.69 | Max P-Miss: 0.1100 | Max Q-Miss: 0.0357 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1330 | Cost: 1512.84 | Max P-Miss: 0.1127 | Max Q-Miss: 0.0372 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1340 | Cost: 1514.26 | Max P-Miss: 0.1077 | Max Q-Miss: 0.0513 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1350 | Cost: 1515.62 | Max P-Miss: 0.1076 | Max Q-Miss: 0.0484 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1360 | Cost: 1396.44 | Max P-Miss: 0.1846 | Max Q-Miss: 0.0336 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch 1370 | Cost: 1473.06 | Max P-Miss: 0.1143 | Max Q-Miss: 0.0883 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch 1380 | Cost: 1476.05 | Max P-Miss: 0.1658 | Max Q-Miss: 0.0463 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch 1390 | Cost: 1522.07 | Max P-Miss: 0.1433 | Max Q-Miss: 0.0478 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
