Architecture,Run,Instance_ID,Raw_Obj_Gap_pct,Raw_Max_Eq,Raw_Mean_Eq,Raw_Max_Ineq,Raw_Mean_Ineq,NN_Time_s,Restoration_Success,Restoration_Status,Restoration_Time_s,Total_Online_Time_s,Restoration_Distance,Restored_Cost,IPOPT_Cost,Restored_Obj_Gap_pct,Restored_Max_Eq,Restored_Mean_Eq,Restored_Max_Ineq,Restored_Mean_Ineq
PINN Baseline,5,8,8.570378303527832,0.08849284052848816,0.0429360568523407,0.05789995193481445,0.0010346653871238232,0.00017713000015646686,False,infeasible,0.13014340000154334,0.1303205300016998,,,2162.856689453125,,,,,
PINN Baseline,5,9,12.896334648132324,0.09234838932752609,0.04444503411650658,0.059051454067230225,0.0010516578331589699,0.00017713000015646686,False,infeasible,0.10781130000032135,0.10798843000047782,,,2082.473388671875,,,,,
DC3,1,0,-38.07969665527344,0.990291178226471,0.12711121141910553,0.06978243589401245,0.0038189967162907124,0.0001552000001538545,False,infeasible,0.12530369999876712,0.12545889999892096,,,2157.823486328125,,,,,
DC3,1,1,-39.59527587890625,0.9822463393211365,0.12250121682882309,0.07464081048965454,0.004377910867333412,0.0001552000001538545,False,infeasible,0.1131822999996075,0.11333749999976135,,,2202.7431640625,,,,,
DC3,1,2,-40.57027816772461,0.9819120168685913,0.12242411077022552,0.0751652717590332,0.004451368469744921,0.0001552000001538545,False,infeasible,0.12429790000169305,0.12445310000184691,,,2237.24365234375,,,,,
DC3,1,3,-38.24502944946289,0.9841705560684204,0.12577857077121735,0.07237470149993896,0.004183842334896326,0.0001552000001538545,False,infeasible,0.1173689999995986,0.11752419999975246,,,2156.857177734375,,,,,
DC3,1,4,-38.60066223144531,0.9872989058494568,0.12797880172729492,0.07183533906936646,0.004047849215567112,0.0001552000001538545,False,infeasible,0.12552920000234735,0.1256844000025012,,,2173.237060546875,,,,,
DC3,1,5,-37.143409729003906,0.9835450053215027,0.12075851857662201,0.07877606153488159,0.004630682524293661,0.0001552000001538545,False,infeasible,0.13747890000013285,0.1376341000002867,,,2116.685546875,,,,,
DC3,1,6,-39.848350524902344,0.9815362691879272,0.12658998370170593,0.07058966159820557,0.004115245770663023,0.0001552000001538545,False,infeasible,0.1380520000020624,0.13820720000221626,,,2211.462646484375,,,,,
DC3,1,7,-38.178043365478516,0.9841681122779846,0.12218872457742691,0.07627761363983154,0.004414419177919626,0.0001552000001538545,False,infeasible,0.12978149999980815,0.129936699999962,,,2154.029296875,,,,,
DC3,1,8,-38.41850662231445,0.9832857847213745,0.12370472401380539,0.0738835334777832,0.004223603755235672,0.0001552000001538545,False,infeasible,0.1268856999995478,0.12704089999970164,,,2162.856689453125,,,,,
DC3,1,9,-36.03248596191406,0.9850720763206482,0.12524183094501495,0.07527720928192139,0.004353356547653675,0.0001552000001538545,False,infeasible,0.12884409999969648,0.12899929999985033,,,2082.473388671875,,,,,
DC3,2,0,-31.681461334228516,1.0494776964187622,0.11782331019639969,0.02931910753250122,0.00035735080018639565,0.0001169099999970058,False,infeasible,0.12615679999726126,0.12627370999725826,,,2157.823486328125,,,,,
DC3,2,1,-33.71974563598633,1.036644458770752,0.11170066148042679,0.01837402582168579,0.00014354707673192024,0.0001169099999970058,False,infeasible,0.10213199999998324,0.10224890999998024,,,2202.7431640625,,,,,
DC3,2,2,-34.6287841796875,1.0367896556854248,0.11170166730880737,0.0169217586517334,0.00013220123946666718,0.0001169099999970058,False,infeasible,0.1204092000007222,0.1205261100007192,,,2237.24365234375,,,,,
DC3,2,3,-32.1795768737793,1.039909839630127,0.11597155034542084,0.02069610357284546,0.00016168830916285515,0.0001169099999970058,False,infeasible,0.10918149999997695,0.10929840999997395,,,2156.857177734375,,,,,
DC3,2,4,-32.59541702270508,1.0427526235580444,0.11656905710697174,0.024656176567077637,0.00019877171143889427,0.0001169099999970058,False,infeasible,0.11083100000178092,0.11094791000177792,,,2173.237060546875,,,,,
DC3,2,5,-30.86180305480957,1.037160873413086,0.10853886604309082,0.01701807975769043,0.00013295374810695648,0.0001169099999970058,False,infeasible,0.11972189999869443,0.11983880999869143,,,2116.685546875,,,,,
DC3,2,6,-33.9290657043457,1.0384010076522827,0.11603888124227524,0.01809680461883545,0.00014138128608465195,0.0001169099999970058,False,infeasible,0.11567490000015823,0.11579181000015523,,,2211.462646484375,,,,,
DC3,2,7,-32.010032653808594,1.040041208267212,0.11134053766727448,0.020873427391052246,0.00016307365149259567,0.0001169099999970058,False,infeasible,0.11196299999937764,0.11207990999937464,,,2154.029296875,,,,,
DC3,2,8,-32.367313385009766,1.0380059480667114,0.11312279850244522,0.019452691078186035,0.0001519741490483284,0.0001169099999970058,False,infeasible,0.11340159999963362,0.11351850999963062,,,2162.856689453125,,,,,
DC3,2,9,-29.76639175415039,1.0388963222503662,0.11496709287166595,0.022085368633270264,0.00017254194244742393,0.0001169099999970058,False,infeasible,0.13315720000173314,0.13327411000173014,,,2082.473388671875,,,,,
DC3,3,0,-30.885160446166992,1.057763695716858,0.11739643663167953,0.015641510486602783,0.00012219930067658424,0.00016928999975789337,False,infeasible,0.134540900002321,0.1347101900020789,,,2157.823486328125,,,,,
DC3,3,1,-32.79219055175781,1.048145055770874,0.11048563569784164,0.012571871280670166,9.821774438023567e-05,0.00016928999975789337,False,infeasible,0.10924330000125337,0.10941259000101126,,,2202.7431640625,,,,,
DC3,3,2,-33.81039810180664,1.04855215549469,0.1106867790222168,0.011763155460357666,9.189965203404427e-05,0.00016928999975789337,False,infeasible,0.12759079999887035,0.12776008999862826,,,2237.24365234375,,,,,
DC3,3,3,-31.218162536621094,1.0531551837921143,0.11551494151353836,0.013676583766937256,0.00010684831067919731,0.00016928999975789337,False,infeasible,0.12764980000065407,0.12781909000041197,,,2156.857177734375,,,,,
DC3,3,4,-31.757360458374023,1.051776647567749,0.11595892906188965,0.015436232089996338,0.00012059556320309639,0.00016928999975789337,False,infeasible,0.12882470000113244,0.12899399000089035,,,2173.237060546875,,,,,
