Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
91,True,optimal,227318.20883930303,2.2215909999940777,2.372694503094408e-07,1.1193860283142953e-08,235.34973209025338,77.66683252621442
92,True,optimal,228985.91808522277,2.2504122000027564,2.3769753809688154e-07,1.1115123932370352e-08,237.7235103994608,78.362936074147
93,True,optimal,224241.03559816125,2.073340399998415,2.3721253583630642e-07,1.118852344106358e-08,235.60966781247407,77.775620381115
94,True,optimal,218972.5662064139,2.3659841000044253,2.3726546771740686e-07,1.1135373956250305e-08,233.98038864554837,78.18068654264789
95,True,optimal,220630.39345329828,1.269117499999993,2.3724249942347342e-07,1.1116457532267532e-08,233.84450543206185,77.98171775788069
96,True,optimal,224906.917318445,1.2392121000011684,2.3727205089585368e-07,1.1222286877554666e-08,235.77447702595964,78.67109425493982
97,True,optimal,219633.76170987875,1.1872847999984515,2.3710958174660846e-07,1.1122030185717335e-08,234.2985551506281,77.92094914196059
98,True,optimal,228532.88982195625,1.312471799996274,2.3723817577092632e-07,1.1190834703356245e-08,235.6473695235327,77.57682814984582
99,True,optimal,218740.02807353088,1.1729173999992781,2.372032561481774e-07,1.118717718462392e-08,235.12607387127355,77.7710813897429
100,True,optimal,217979.76689093927,1.4169603000045754,2.371468781348085e-07,1.1193534321662924e-08,233.04586414108053,77.58870688150637
