Job: acopf_run
Executing: ACOPF_FSNet.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch 1420 | Cost: 1481.12 | Max P-Miss: 0.1291 | Max Q-Miss: 0.0308 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1430 | Cost: 1479.42 | Max P-Miss: 0.1294 | Max Q-Miss: 0.0406 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1440 | Cost: 1465.28 | Max P-Miss: 0.1199 | Max Q-Miss: 0.0525 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1450 | Cost: 1468.58 | Max P-Miss: 0.1067 | Max Q-Miss: 0.0517 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1460 | Cost: 1500.58 | Max P-Miss: 0.1281 | Max Q-Miss: 0.0887 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1470 | Cost: 1464.98 | Max P-Miss: 0.1243 | Max Q-Miss: 0.0508 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1480 | Cost: 1470.70 | Max P-Miss: 0.1279 | Max Q-Miss: 0.0340 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1490 | Cost: 1471.27 | Max P-Miss: 0.1285 | Max Q-Miss: 0.0339 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1500 | Cost: 1475.43 | Max P-Miss: 0.1304 | Max Q-Miss: 0.0308 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1510 | Cost: 1476.10 | Max P-Miss: 0.1249 | Max Q-Miss: 0.0317 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1520 | Cost: 1474.88 | Max P-Miss: 0.1289 | Max Q-Miss: 0.0298 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1530 | Cost: 1478.30 | Max P-Miss: 0.1180 | Max Q-Miss: 0.0283 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1540 | Cost: 1476.33 | Max P-Miss: 0.1217 | Max Q-Miss: 0.0289 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1550 | Cost: 1473.12 | Max P-Miss: 0.1286 | Max Q-Miss: 0.0290 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1560 | Cost: 1477.85 | Max P-Miss: 0.1361 | Max Q-Miss: 0.0313 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1570 | Cost: 1471.19 | Max P-Miss: 0.1351 | Max Q-Miss: 0.0323 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1580 | Cost: 1461.29 | Max P-Miss: 0.1120 | Max Q-Miss: 0.0506 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1590 | Cost: 1465.72 | Max P-Miss: 0.1054 | Max Q-Miss: 0.1042 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1600 | Cost: 1416.28 | Max P-Miss: 0.1358 | Max Q-Miss: 0.0528 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1610 | Cost: 1455.27 | Max P-Miss: 0.1181 | Max Q-Miss: 0.0365 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1620 | Cost: 1466.07 | Max P-Miss: 0.1120 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1630 | Cost: 1393.24 | Max P-Miss: 0.1981 | Max Q-Miss: 0.0551 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1640 | Cost: 1507.19 | Max P-Miss: 0.1585 | Max Q-Miss: 0.1806 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1650 | Cost: 1477.94 | Max P-Miss: 0.1195 | Max Q-Miss: 0.0293 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1660 | Cost: 1487.30 | Max P-Miss: 0.1211 | Max Q-Miss: 0.0277 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1670 | Cost: 1488.11 | Max P-Miss: 0.1121 | Max Q-Miss: 0.0251 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
