Job: acopf_run
Executing: ACOPF_pinn_rahul.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch 1240 | Cost:   74.47 | Max P-Miss: 0.5371 | Max Q-Miss: 0.4481 | Max Gen Viol: 0.9809 | Max Thermal: 0.0000
Epoch 1250 | Cost:   83.37 | Max P-Miss: 0.5100 | Max Q-Miss: 0.4434 | Max Gen Viol: 0.9814 | Max Thermal: 0.0000
Epoch 1260 | Cost:   92.85 | Max P-Miss: 0.5271 | Max Q-Miss: 0.4475 | Max Gen Viol: 0.9823 | Max Thermal: 0.0000
Epoch 1270 | Cost:   78.89 | Max P-Miss: 0.5946 | Max Q-Miss: 0.4851 | Max Gen Viol: 0.9925 | Max Thermal: 0.0000
Epoch 1280 | Cost:   73.65 | Max P-Miss: 0.5464 | Max Q-Miss: 0.4444 | Max Gen Viol: 0.9798 | Max Thermal: 0.0000
Epoch 1290 | Cost:   85.57 | Max P-Miss: 0.5360 | Max Q-Miss: 0.4476 | Max Gen Viol: 0.9835 | Max Thermal: 0.0000
Epoch 1300 | Cost:   65.85 | Max P-Miss: 0.5318 | Max Q-Miss: 0.4497 | Max Gen Viol: 0.9789 | Max Thermal: 0.0000
Epoch 1310 | Cost:   66.20 | Max P-Miss: 0.5161 | Max Q-Miss: 0.4543 | Max Gen Viol: 0.9888 | Max Thermal: 0.0000
Epoch 1320 | Cost:   75.98 | Max P-Miss: 0.5104 | Max Q-Miss: 0.4467 | Max Gen Viol: 0.9825 | Max Thermal: 0.0000
Epoch 1330 | Cost:   69.34 | Max P-Miss: 0.5269 | Max Q-Miss: 0.4524 | Max Gen Viol: 0.9794 | Max Thermal: 0.0000
Epoch 1340 | Cost:  302.11 | Max P-Miss: 0.6634 | Max Q-Miss: 0.4147 | Max Gen Viol: 1.0988 | Max Thermal: 0.0000
Epoch 1350 | Cost:  -51.82 | Max P-Miss: 0.5367 | Max Q-Miss: 0.4377 | Max Gen Viol: 0.9712 | Max Thermal: 0.0000
Epoch 1360 | Cost:  -32.75 | Max P-Miss: 0.5449 | Max Q-Miss: 0.4451 | Max Gen Viol: 0.9900 | Max Thermal: 0.0000
Epoch 1370 | Cost:  -64.57 | Max P-Miss: 0.5444 | Max Q-Miss: 0.4460 | Max Gen Viol: 0.9851 | Max Thermal: 0.0000
Epoch 1380 | Cost:  -50.95 | Max P-Miss: 0.5488 | Max Q-Miss: 0.4423 | Max Gen Viol: 0.9865 | Max Thermal: 0.0000
Epoch 1390 | Cost:  -51.55 | Max P-Miss: 0.5310 | Max Q-Miss: 0.4472 | Max Gen Viol: 0.9796 | Max Thermal: 0.0000
Epoch 1400 | Cost:  -44.22 | Max P-Miss: 0.5241 | Max Q-Miss: 0.4495 | Max Gen Viol: 0.9773 | Max Thermal: 0.0000
Epoch 1410 | Cost:  -34.05 | Max P-Miss: 0.5236 | Max Q-Miss: 0.4519 | Max Gen Viol: 0.9862 | Max Thermal: 0.0000
Epoch 1420 | Cost:  -11.88 | Max P-Miss: 0.7030 | Max Q-Miss: 0.9156 | Max Gen Viol: 0.8665 | Max Thermal: 0.0000
Epoch 1430 | Cost:  -48.45 | Max P-Miss: 0.5470 | Max Q-Miss: 0.4497 | Max Gen Viol: 0.9835 | Max Thermal: 0.0000
Epoch 1440 | Cost:  -36.27 | Max P-Miss: 0.5434 | Max Q-Miss: 0.4524 | Max Gen Viol: 0.9834 | Max Thermal: 0.0000
Epoch 1450 | Cost:  -57.48 | Max P-Miss: 0.5615 | Max Q-Miss: 0.4428 | Max Gen Viol: 1.4293 | Max Thermal: 0.0000
Epoch 1460 | Cost:  -53.43 | Max P-Miss: 0.5243 | Max Q-Miss: 0.4486 | Max Gen Viol: 0.9875 | Max Thermal: 0.0000
Epoch 1470 | Cost:  -49.05 | Max P-Miss: 0.5333 | Max Q-Miss: 0.4476 | Max Gen Viol: 0.9823 | Max Thermal: 0.0000
Epoch 1480 | Cost:  -48.21 | Max P-Miss: 0.5253 | Max Q-Miss: 0.4502 | Max Gen Viol: 0.9840 | Max Thermal: 0.0000
Epoch 1490 | Cost:  -38.89 | Max P-Miss: 0.5278 | Max Q-Miss: 0.4541 | Max Gen Viol: 0.9846 | Max Thermal: 0.0000
Epoch 1500 | Cost:  -37.88 | Max P-Miss: 0.7554 | Max Q-Miss: 0.9745 | Max Gen Viol: 0.9345 | Max Thermal: 0.0000
Epoch 1510 | Cost:  316.67 | Max P-Miss: 0.8879 | Max Q-Miss: 1.0608 | Max Gen Viol: 2.0223 | Max Thermal: 0.0000
Epoch 1520 | Cost:  -61.05 | Max P-Miss: 0.4995 | Max Q-Miss: 0.4665 | Max Gen Viol: 2.1836 | Max Thermal: 3.5521
Epoch 1530 | Cost:  -50.87 | Max P-Miss: 0.5546 | Max Q-Miss: 0.4471 | Max Gen Viol: 1.4920 | Max Thermal: 0.5405
Epoch 1540 | Cost:  -44.29 | Max P-Miss: 0.5561 | Max Q-Miss: 0.4495 | Max Gen Viol: 1.2592 | Max Thermal: 0.0000
Epoch 1550 | Cost:  -35.77 | Max P-Miss: 0.5585 | Max Q-Miss: 0.4448 | Max Gen Viol: 1.0240 | Max Thermal: 0.0000
Epoch 1560 | Cost:  -47.47 | Max P-Miss: 0.5610 | Max Q-Miss: 0.4521 | Max Gen Viol: 0.9721 | Max Thermal: 0.0000
Epoch 1570 | Cost:  -45.46 | Max P-Miss: 0.5496 | Max Q-Miss: 0.4475 | Max Gen Viol: 0.9724 | Max Thermal: 0.0000
Epoch 1580 | Cost:  -51.41 | Max P-Miss: 0.5531 | Max Q-Miss: 0.4499 | Max Gen Viol: 0.9755 | Max Thermal: 0.0000
Epoch 1590 | Cost:  -46.38 | Max P-Miss: 0.5388 | Max Q-Miss: 0.4501 | Max Gen Viol: 0.9767 | Max Thermal: 0.0000
Epoch 1600 | Cost:  -40.46 | Max P-Miss: 0.5269 | Max Q-Miss: 0.4497 | Max Gen Viol: 0.9813 | Max Thermal: 0.0000
Epoch 1610 | Cost:   27.05 | Max P-Miss: 0.5157 | Max Q-Miss: 0.6665 | Max Gen Viol: 0.9544 | Max Thermal: 0.0000
Epoch 1620 | Cost: -115.81 | Max P-Miss: 0.5198 | Max Q-Miss: 0.4591 | Max Gen Viol: 0.9776 | Max Thermal: 0.0000
Epoch 1630 | Cost:   95.58 | Max P-Miss: 0.5168 | Max Q-Miss: 0.4459 | Max Gen Viol: 0.9731 | Max Thermal: 0.0000
Epoch 1640 | Cost:   60.79 | Max P-Miss: 0.5240 | Max Q-Miss: 0.4105 | Max Gen Viol: 0.9730 | Max Thermal: 0.0000
Epoch 1650 | Cost: -102.39 | Max P-Miss: 0.5064 | Max Q-Miss: 0.4538 | Max Gen Viol: 0.9864 | Max Thermal: 0.0000
Epoch 1660 | Cost:   99.60 | Max P-Miss: 0.5197 | Max Q-Miss: 0.7900 | Max Gen Viol: 0.9747 | Max Thermal: 0.0000
Epoch 1670 | Cost: -204.12 | Max P-Miss: 0.6246 | Max Q-Miss: 0.6257 | Max Gen Viol: 0.9891 | Max Thermal: 0.0000
Epoch 1680 | Cost:   47.70 | Max P-Miss: 0.5571 | Max Q-Miss: 0.4400 | Max Gen Viol: 0.9693 | Max Thermal: 0.0000
