Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  550 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  560 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  570 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  580 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  590 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  610 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  620 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  630 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  640 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  650 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  660 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  670 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  680 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  690 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  710 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  720 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  730 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  740 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
